"applicationNumber","documentId","date","title","phase","pages","fileName","path","url"
"EP18755728","L0QSU4TS1CF750R","14.03.2022","Description","Search / examination","207","14-03-2022_Description_L0QSU4TS1CF750R.pdf","F:\benchmark\epo-report-analysis\markush-run\benchmark-api50\EP18755728\docs\14-03-2022_Description_L0QSU4TS1CF750R.pdf","https://register.epo.org/application?documentId=L0QSU4TS1CF750R&appnumber=EP18755728&showPdfPage=all&proc="
"EP18755728","L0QSTIM0QP0K8YQ","14.03.2022","Reply to communication from the Examining Division","Search / examination","1","14-03-2022_Reply_to_communication_from_the_Examining_Division_L0QSTIM0QP0K8YQ.pdf","F:\benchmark\epo-report-analysis\markush-run\benchmark-api50\EP18755728\docs\14-03-2022_Reply_to_communication_from_the_Examining_Division_L0QSTIM0QP0K8YQ.pdf","https://register.epo.org/application?documentId=L0QSTIM0QP0K8YQ&appnumber=EP18755728&showPdfPage=all&proc="
"EP18755728","KVI5KSAJ181ZH6X","05.11.2021","Annex to the communication","Search / examination","1","05-11-2021_Annex_to_the_communication_KVI5KSAJ181ZH6X.pdf","F:\benchmark\epo-report-analysis\markush-run\benchmark-api50\EP18755728\docs\05-11-2021_Annex_to_the_communication_KVI5KSAJ181ZH6X.pdf","https://register.epo.org/application?documentId=KVI5KSAJ181ZH6X&appnumber=EP18755728&showPdfPage=all&proc="
"EP18755728","KVI5KSAG7P3K860","05.11.2021","Communication from the Examining Division","Search / examination","2","05-11-2021_Communication_from_the_Examining_Division_KVI5KSAG7P3K860.pdf","F:\benchmark\epo-report-analysis\markush-run\benchmark-api50\EP18755728\docs\05-11-2021_Communication_from_the_Examining_Division_KVI5KSAG7P3K860.pdf","https://register.epo.org/application?documentId=KVI5KSAG7P3K860&appnumber=EP18755728&showPdfPage=all&proc="
"EP18755728","E6HES3MI9665DSU","16.07.2021","Amended claims with annotations","Search / examination","30","16-07-2021_Amended_claims_with_annotations_E6HES3MI9665DSU.pdf","F:\benchmark\epo-report-analysis\markush-run\benchmark-api50\EP18755728\docs\16-07-2021_Amended_claims_with_annotations_E6HES3MI9665DSU.pdf","https://register.epo.org/application?documentId=E6HES3MI9665DSU&appnumber=EP18755728&showPdfPage=all&proc="
"EP18755728","E6HES33O0569DSU","16.07.2021","Claims","Search / examination","30","16-07-2021_Claims_E6HES33O0569DSU.pdf","F:\benchmark\epo-report-analysis\markush-run\benchmark-api50\EP18755728\docs\16-07-2021_Claims_E6HES33O0569DSU.pdf","https://register.epo.org/application?documentId=E6HES33O0569DSU&appnumber=EP18755728&showPdfPage=all&proc="
"EP18755728","E6HES3ZX5769DSU","16.07.2021","Reply to communication from the Examining Division","Search / examination","2","16-07-2021_Reply_to_communication_from_the_Examining_Division_E6HES3ZX5769DSU.pdf","F:\benchmark\epo-report-analysis\markush-run\benchmark-api50\EP18755728\docs\16-07-2021_Reply_to_communication_from_the_Examining_Division_E6HES3ZX5769DSU.pdf","https://register.epo.org/application?documentId=E6HES3ZX5769DSU&appnumber=EP18755728&showPdfPage=all&proc="
"EP18755728","E5X20HH29208DSU","09.03.2021","Annex to the communication","Search / examination","2","09-03-2021_Annex_to_the_communication_E5X20HH29208DSU.pdf","F:\benchmark\epo-report-analysis\markush-run\benchmark-api50\EP18755728\docs\09-03-2021_Annex_to_the_communication_E5X20HH29208DSU.pdf","https://register.epo.org/application?documentId=E5X20HH29208DSU&appnumber=EP18755728&showPdfPage=all&proc="
"EP18755728","E5X20HFE5931DSU","09.03.2021","Communication from the Examining Division","Search / examination","2","09-03-2021_Communication_from_the_Examining_Division_E5X20HFE5931DSU.pdf","F:\benchmark\epo-report-analysis\markush-run\benchmark-api50\EP18755728\docs\09-03-2021_Communication_from_the_Examining_Division_E5X20HFE5931DSU.pdf","https://register.epo.org/application?documentId=E5X20HFE5931DSU&appnumber=EP18755728&showPdfPage=all&proc="
"EP18755728","E5A37VNV7471DSU","23.09.2020","Amended claims filed after receipt of (European) search report","Search / examination","30","23-09-2020_Amended_claims_filed_after_receipt_of_(European)_search_report_E5A37VNV7471DSU.pdf","F:\benchmark\epo-report-analysis\markush-run\benchmark-api50\EP18755728\docs\23-09-2020_Amended_claims_filed_after_receipt_of_(European)_search_report_E5A37VNV7471DSU.pdf","https://register.epo.org/application?documentId=E5A37VNV7471DSU&appnumber=EP18755728&showPdfPage=all&proc="
"EP18755728","E5A37U8I8634DSU","23.09.2020","Amended claims with annotations","Search / examination","40","23-09-2020_Amended_claims_with_annotations_E5A37U8I8634DSU.pdf","F:\benchmark\epo-report-analysis\markush-run\benchmark-api50\EP18755728\docs\23-09-2020_Amended_claims_with_annotations_E5A37U8I8634DSU.pdf","https://register.epo.org/application?documentId=E5A37U8I8634DSU&appnumber=EP18755728&showPdfPage=all&proc="
"EP18755728","E2ZDY14O5312DSU","07.02.2019","Published international application - A1","Search / examination","222","07-02-2019_Published_international_application_-_A1_E2ZDY14O5312DSU.pdf","F:\benchmark\epo-report-analysis\markush-run\benchmark-api50\EP18755728\docs\07-02-2019_Published_international_application_-_A1_E2ZDY14O5312DSU.pdf","https://register.epo.org/application?documentId=E2ZDY14O5312DSU&appnumber=EP18755728&showPdfPage=all&proc="
"EP18755728","E16YBRNZ3754DSU","31.07.2018","Claims","PCT receiving Office","21","31-07-2018_Claims_E16YBRNZ3754DSU.pdf","F:\benchmark\epo-report-analysis\markush-run\benchmark-api50\EP18755728\docs\31-07-2018_Claims_E16YBRNZ3754DSU.pdf","https://register.epo.org/application?documentId=E16YBRNZ3754DSU&appnumber=EP18755728&showPdfPage=all&proc="
"EP18755728","E16YBRNZ0860DSU","31.07.2018","Description","PCT receiving Office","200","31-07-2018_Description_E16YBRNZ0860DSU.pdf","F:\benchmark\epo-report-analysis\markush-run\benchmark-api50\EP18755728\docs\31-07-2018_Description_E16YBRNZ0860DSU.pdf","https://register.epo.org/application?documentId=E16YBRNZ0860DSU&appnumber=EP18755728&showPdfPage=all&proc="
