app|claim1|c1chars|ntargets|mk|npa|src_docs|src_chars|dims|agg|ph
EP17710371|0|0|0|0|1|0|0|5/5|50|0
EP17710372|0|0|0|1|1|0|0|5/5|50|0
EP17710373|0|0|0|0|0|0|0|5/5|50|0
EP17727331|0|0|0|0|3|0|0|5/5|50|0
EP17744987|0|0|0|0|6|0|0|5/5|60|0
EP17760194|0|0|0|3|12|0|0|5/5|50|1
EP17796865|0|0|0|3|3|0|0|5/5|50|0
EP17816799|0|0|0|0|5|0|0|5/5|50|0
EP17821262|0|0|0|0|3|0|0|5/5|50|0
EP17826643|0|0|0|0|5|0|0|5/5|50|0
EP17854887|0|0|0|3|2|0|0|5/5|50|0
EP17884516|0|0|0|3|14|0|0|5/5|50|1
EP18176636|0|0|0|0|6|0|0|5/5|50|0
EP18182643|0|0|0|0|5|0|0|5/5|50|0
EP18186872|0|0|0|3|4|0|0|5/5|50|0
EP18707713|0|0|0|2|2|0|0|5/5|58|0
EP18723960|0|0|0|0|1|0|0|5/5|50|0
EP18724754|0|0|0|3|1|0|0|5/5|55|0
EP18727044|0|0|0|0|3|0|0|5/5|50|0
EP18741256|0|0|0|0|4|0|0|5/5|60|0
EP18743416|0|0|0|3|4|0|0|5/5|50|0
EP18747587|0|0|0|3|7|0|0|5/5|65|0
EP18755728|0|0|0|3|12|0|0|5/5|50|0
EP18769382|0|0|0|3|1|0|0|5/5|50|0
EP18769933|0|0|0|3|0|0|0|5/5|58|0
EP18796243|0|0|0|3|8|0|0|5/5|50|1
EP18799977|0|0|0|3|3|0|0|5/5|50|0
EP18805890|0|0|0|0|8|0|0|5/5|50|0
EP18806938|0|0|0|3|3|0|0|5/5|50|0
EP18813703|0|0|0|0|8|0|0|5/5|50|2
EP18826609|0|0|0|3|1|0|0|5/5|50|0
EP18857581|0|0|0|0|6|0|0|5/5|50|1
EP18883841|0|0|0|0|8|0|0|5/5|50|0
EP19170042|0|0|0|0|7|0|0|5/5|50|0
EP19175124|0|0|0|0|6|0|0|5/5|50|0
EP19187141|0|0|0|3|3|0|0|5/5|50|0
EP19199149|0|0|0|0|0|0|0|5/5|50|0
EP19721230|0|0|0|1|1|0|0|5/5|50|0
EP19721945|0|0|0|3|4|0|0|5/5|50|0
EP19768264|0|0|0|0|7|0|0|5/5|50|0
EP19815293|0|0|0|0|5|0|0|5/5|50|1
EP19823565|0|0|0|0|5|0|0|5/5|50|1
EP19837280|0|0|0|3|4|0|0|5/5|50|0
EP19877895|0|0|0|0|4|0|0|5/5|50|0
EP19877904|0|0|0|0|6|0|0|5/5|50|0
EP19879421|0|0|0|3|4|0|0|5/5|50|0
EP19899188|0|0|0|2|7|0|0|5/5|50|1
EP19913097|0|0|0|3|3|0|0|5/5|62|0
EP20151280|0|0|0|0|3|0|0|5/5|50|0
EP20159174|0|0|0|0|8|0|0|5/5|50|0
EP20183978|0|0|0|0|1|0|0|5/5|50|0
EP20201358|0|0|0|0|2|0|0|5/5|50|0
EP20204836|0|0|0|0|4|0|0|5/5|50|0
EP20207188|0|0|0|0|2|0|0|5/5|50|0
EP21173787|0|0|0|0|2|0|0|5/5|50|0
EP21178189|0|0|0|0|0|0|0|5/5|50|0
EP21182413|0|0|0|0|1|0|0|5/5|65|0
EP21186636|0|0|0|3|4|0|0|5/5|50|0
EP21715726|0|0|0|1|6|0|0|5/5|50|0
EP21717912|0|0|0|3|1|0|0|5/5|50|0
EP21720645|0|0|0|0|2|0|0|5/5|50|2
EP21727905|0|0|0|3|0|0|0|5/5|50|1
EP21728705|0|0|0|3|2|0|0|5/5|50|0
EP21743756|0|0|0|0|2|0|0|5/5|50|2
EP21757247|0|0|0|3|8|0|0|5/5|50|0
EP21758144|0|0|0|3|1|0|0|5/5|50|0
EP21764438|0|0|0|0|3|0|0|5/5|50|1
EP21765099|0|0|0|3|5|0|0|5/5|50|1
EP21766969|0|0|0|0|7|0|0|5/5|50|2
EP21771463|0|0|0|3|8|0|0|5/5|50|0
EP21825566|0|0|0|0|7|0|0|5/5|50|3
EP21825864|0|0|0|0|5|0|0|5/5|50|1
EP21835114|0|0|0|1|8|0|0|5/5|50|0
EP21842292|0|0|0|3|5|0|0|5/5|50|1
EP21852332|0|0|0|3|1|0|0|5/5|50|1
EP21855613|0|0|0|3|2|0|0|5/5|60|0
EP21887290|0|0|0|0|10|0|0|5/5|50|2
EP21891162|0|0|0|0|2|0|0|5/5|50|1
EP21905711|0|0|0|3|0|0|0|5/5|50|2
EP22199251|0|0|0|3|1|0|0|5/5|50|0
EP22199255|0|0|0|3|2|0|0|5/5|50|0
EP22215179|0|0|0|3|5|0|0|5/5|50|1
EP22712921|0|0|0|0|1|0|0|5/5|50|2
EP22728228|0|0|0|3|1|0|0|5/5|50|0
EP22745373|0|0|0|0|9|0|0|5/5|50|1
EP22757665|0|0|0|0|4|0|0|5/5|50|0
EP22772291|0|0|0|0|12|0|0|5/5|50|1
EP22791028|0|0|0|3|5|0|0|5/5|50|1
EP22795717|0|0|0|3|10|0|0|5/5|50|1
EP22807426|0|0|0|2|3|0|0|5/5|50|1
EP22845898|0|0|0|3|3|0|0|5/5|50|2
EP22860505|0|0|0|3|3|0|0|5/5|50|1
EP22865548|0|0|0|0|7|0|0|5/5|50|1
EP22869437|0|0|0|3|2|0|0|5/5|50|1
EP22875187|0|0|0|3|0|0|0|5/5|50|0
EP22888118|0|0|0|0|3|0|0|5/5|50|0
EP22894936|0|0|0|3|5|0|0|5/5|50|1
EP22919900|0|0|0|3|1|0|0|5/5|50|1
EP22936717|0|0|0|0|4|0|0|5/5|50|1
EP23162059|0|0|0|3|3|0|0|5/5|50|1
EP23166479|0|0|0|3|2|0|0|5/5|50|0
EP23174717|0|0|0|3|5|0|0|5/5|50|0
EP23211578|0|0|0|0|4|0|0|5/5|50|0
EP23214772|0|0|0|0|3|0|0|5/5|50|1
EP23214872|0|0|0|0|1|0|0|5/5|50|2
EP23709924|0|0|0|3|1|0|0|5/5|50|0
EP23743322|0|0|0|3|4|0|0|5/5|50|2
EP23744576|0|0|0|0|3|0|0|5/5|50|2
EP23744625|0|0|0|0|2|0|0|5/5|50|0
EP23826486|0|0|0|0|4|0|0|5/5|50|1
EP23833241|0|0|0|2|9|0|0|5/5|50|1
EP23869109|0|0|0|0|3|0|0|5/5|50|1
EP24159602|0|0|0|2|1|0|0|5/5|50|0
EP24169240|0|0|0|0|3|0|0|5/5|50|1
EP24194030|0|0|0|0|2|0|0|5/5|50|2
EP24194407|0|0|0|3|3|0|0|5/5|50|1
EP24202933|0|0|0|0|1|0|0|5/5|50|1
EP24203177|0|0|0|0|1|0|0|5/5|50|0
EP24215746|0|0|0|0|5|0|0|5/5|50|0
EP24217588|0|0|0|0|1|0|0|5/5|50|1
EP25166280|0|0|0|1|3|0|0|5/5|50|1
EP25173560|0|0|0|0|2|0|0|5/5|50|2
EP25199578|0|0|0|0|5|0|0|5/5|50|1
EP25203109|0|0|0|0|2|0|0|5/5|50|1
EP26158881|0|0|0|3|2|0|0|5/5|50|2
EP99942591|0|0|0|2|2|0|0|5/5|50|0
