app|pdfs|txts|total_txt|claims_txt|big_txt|mk_cand
EP21891162|15|15|1967|171|0|857
EP21757247|11|11|1826|55|0|489
EP20201358|13|13|1794|33|1|136
EP21178189|4|4|1736|66|1|115
EP19837280|14|14|1703|243|0|184
EP08720044|20|20|1702|44|0|143
EP23744576|9|9|1647|44|0|479
EP18176636|14|14|1590|33|0|653
EP13189059|9|9|1538|44|0|714
EP17760194|17|17|1459|159|0|79
EP21720645|8|8|1443|22|0|126
EP10840257|11|11|1441|55|1|0
EP17706570|12|12|1395|33|0|589
EP24169240|5|5|1301|55|1|51
EP23166479|21|21|1287|88|0|48
EP14790694|13|13|1285|88|0|27
EP21727905|7|7|1233|55|0|516
EP19899188|8|8|1179|351|0|411
EP21825864|10|10|1169|99|0|0
EP22807426|4|4|1152|123|1|1047
EP19815293|17|17|1125|88|0|521
EP08848526|13|13|1080|123|0|0
EP22772291|11|11|1062|55|0|0
EP13825373|13|13|996|33|0|0
EP22865548|8|8|893|55|0|0
EP23743322|6|6|871|44|0|220
EP18186872|4|4|836|33|0|80
EP22845898|6|6|814|99|0|773
EP21905711|10|10|787|44|0|460
EP21743756|7|7|763|55|0|0
EP21186636|8|8|693|22|0|544
EP21842292|8|8|691|171|0|118
EP22791028|7|7|674|66|0|579
EP22936717|14|14|649|33|0|546
EP16178441|4|4|636|123|0|599
EP09075393|4|4|605|55|0|1292
EP06126066|4|4|537|22|0|472
EP13739866|11|11|528|44|0|0
EP18813703|5|5|510|0|0|0
EP22199251|4|4|474|33|0|182
EP23214872|4|4|473|159|0|100
EP22888118|7|7|439|33|0|0
EP22745373|7|7|421|135|0|518
EP22199255|4|4|414|33|0|170
EP15160267|4|4|364|66|0|691
EP11866737|3|3|363|99|0|215
EP25166280|5|5|343|22|0|254
EP22215179|9|9|286|44|0|69
EP16178896|9|9|275|33|0|12
EP20151280|4|4|267|135|0|29
EP23869109|4|4|253|66|0|0
EP24217588|4|4|209|55|0|39
EP24215746|3|3|154|55|0|68
EP23214772|6|6|143|22|0|7
EP25173560|4|4|143|33|0|16
EP23211578|3|3|132|33|0|45
EP99942591|4|4|132|22|0|530
EP20204836|3|3|110|44|0|20
EP23826486|2|2|110|55|0|0
EP25203109|2|2|66|44|0|26
